Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/first,50,140,125,199,"13,18","0,000%","43,40278","9,07","5,38","214,0"
/get_method,50,144,122,203,"14,32","0,000%","43,21521","7,81","6,25","185,0"
/object_info,50,145,127,203,"15,56","0,000%","42,95533","10,91","6,84","260,0"
/user_info_2,50,155,123,562,"60,40","0,000%","35,84229","17,01","8,65","486,0"
/user_info_3,50,149,128,199,"18,53","0,000%","35,46099","13,19","8,52","381,0"
/object_info_2,50,147,126,173,"13,90","0,000%","35,08772","16,21","5,62","473,0"
/object_info_1,50,149,130,203,"16,21","0,000%","34,50656","8,73","5,46","259,0"
/object_info_4,50,143,127,169,"9,93","0,000%","34,72222","8,61","5,66","254,0"
/object_info_3,50,141,123,166,"9,75","0,000%","35,21127","18,36","5,71","534,0"
TOTAL,450,146,122,562,"24,60","0,000%","178,42982","58,97","30,78","338,4"
