Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/first,250,221,122,3169,"468,77","0,000%","18,54324","3,88","2,30","214,0"
/get_method,250,198,123,3157,"388,02","0,000%","18,53774","3,35","2,68","185,0"
/object_info,250,173,122,3174,"283,13","0,000%","18,54187","4,71","2,95","260,0"
/user_info_2,250,195,123,3159,"349,70","0,000%","17,23781","8,18","4,16","486,0"
/user_info_3,250,247,122,3160,"512,63","0,000%","17,23306","6,41","4,14","381,0"
/object_info_2,250,249,121,3161,"515,35","0,000%","17,23306","7,96","2,76","473,0"
/object_info_1,250,271,121,3175,"574,54","0,000%","17,12915","4,33","2,71","259,0"
/object_info_4,250,332,122,7156,"826,89","0,000%","15,29707","3,79","2,49","254,0"
/object_info_3,250,275,122,3168,"555,47","0,000%","15,29707","7,98","2,48","534,0"
TOTAL,2250,240,121,7156,"521,00","0,000%","129,25834","42,72","22,30","338,4"
